"target","score","p","padj","norm_z_score","norm_z_score_p","norm_z_score_p_adj"
"c0-141",3893.4809059258,0,0,3.44236325589027,0.000576655326215617,0.33107411490223
"c3-5",4729.10996968029,0,0,3.37539981683688,0.000737085227982702,0.33107411490223
"c0-167",4076.82682887665,0,0,3.21696798984822,0.00129553052279485,0.412426285245726
"c0-380",4877.93637095733,0,0,2.81029852033361,0.00494955679600254,0.536724525022477
"c0-248",4221.33679915893,0,0,2.80475471699029,0.00503548831355478,0.536724525022477
"c0-1263",6030.68992788623,0,0,2.7792155650822,0.00544903512484021,0.536724525022477
"c0-558",5252.86762169817,0,0,2.71815466616241,0.00656471434199628,0.536724525022477
"c0-1519",5991.57833186453,0,0,2.71778075871167,0.00657213704109155,0.536724525022477
"c3-91",4726.35564125772,0,0,2.70547160207828,0.00682074798209735,0.540644582698599
"c0-797",4682.4581487676,0,0,2.68999133427462,0.00714538745049995,0.550194833688496
"c0-212",3658.04880873548,0,0,2.65898066994054,0.00783774596822819,0.560026083455158
"c1-390",5740.36945759571,0,0,2.63912325374118,0.00831207545016932,0.560026083455158
"c0-1501",5742.37513296045,0,0,2.62145194463754,0.00875561051994848,0.564327089281803
"c0-395",5030.21190990409,0,0,2.60737702225284,0.00912388377538894,0.564327089281803
"c0-329",3923.66459360421,0,0,2.54593262060601,0.0108986222783585,0.57591739294463
"c3-75",4903.62785515778,0,0,2.51944624334438,0.0117539586760958,0.58417102101996
"c0-153",3327.38573287675,0,0,2.5148783833031,0.0119073450936908,0.58417102101996
"c0-750",4424.02080920022,0,0,2.51380594614355,0.011943613234721,0.58417102101996
"c0-250",3475.88803708357,0,0,2.49587568164372,0.0125646627809709,0.58417102101996
"c0-360",5494.43681536671,0,0,2.48010988075221,0.0131341900882363,0.58417102101996
"c0-247",3421.56934681367,0,0,2.47784234744541,0.0132179535029191,0.58417102101996
"c0-315",4361.03608388969,0,0,2.46468370495633,0.0137134246219229,0.596091602517457
"c2-275",5359.45784780761,0,0,2.44031293925045,0.0146745436863457,0.597363737202564
"c2-45",4749.11875692658,0,0,2.43690016370964,0.0148137686783902,0.597363737202564
"c0-390",5316.16297516253,0,0,2.40971723607207,0.0159648885123729,0.601347309849407
"c0-1277",5317.8325097726,0,0,2.40742004840358,0.0160656795210231,0.601347309849407
"c0-1146",5338.95999559256,0,0,2.39302681632123,0.0167100197301939,0.612398938335393
"c2-18",3688.53416207441,0,0,2.39071922642993,0.0168154068411203,0.612398938335393
"c0-200",3086.83819923586,0,0,2.36952540336241,0.0178109314953369,0.640006138399104
"c2-170",5260.52125360546,0,0,2.36379556573572,0.018088791245,0.641438057964146
"c0-258",3633.8001827137,0,0,2.34962795459997,0.0187921839200953,0.649294046982779
"c0-320",3383.70372328607,0,0,2.30807156916266,0.0209951561858559,0.66222095198611
"c0-650",5104.06757242027,0,0,2.30273543582916,0.0212937331353353,0.66222095198611
"c0-1218",5130.02363832234,0,0,2.30075214066278,0.0214056450498435,0.66222095198611
"c0-1029",4505.46971819584,0,0,2.29842738083103,0.0215374766159754,0.66222095198611
"c1-293",4505.42223543969,0,0,2.29420171593757,0.021778914799777,0.66222095198611
"c2-73",4064.91109614651,0,0,2.29350547665137,0.0218189204210505,0.66222095198611
"c1-228",5056.74558716524,0,0,2.27726216191275,0.0227705750397447,0.66702934491426
"c0-325",4064.62232723171,0,0,2.27191213176143,0.0230918180109272,0.669166124080096
"c0-604",4446.35896227149,0,0,2.26616739773565,0.0234411359534176,0.672062355260218
"c0-853",4018.41485709056,0,0,2.25313370507943,0.0242507198675447,0.680788437948261
"c1-525",4970.72946218689,0,0,2.24588231590591,0.0247115468844824,0.686573390244124
"c0-382",3996.94480223565,0,0,2.23477207098509,0.0254323163033455,0.688895074786412
"c1-2",3003.33705614213,0,0,2.20782164721852,0.0272567084378916,0.688895074786412
"c0-1367",4868.11358619659,0,0,2.19308373119491,0.028301346938736,0.688895074786412
"c0-855",3945.56199568617,0,0,2.18131991636164,0.0291597623252244,0.688895074786412
"c0-72",2607.83380056892,0,0,2.17783990747919,0.0294179576493827,0.688895074786412
"c0-101",4268.59543419111,0,0,2.17667971838115,0.0295044725791066,0.688895074786412
"c0-166",2960.63615879253,0,0,2.15193023546571,0.0314028494681803,0.688895074786412
"c0-674",3583.16820020138,0,0,2.14463994919421,0.0319816456091253,0.688895074786412
"c0-162",2829.26673274583,0,0,2.14257821662318,0.0321469818619509,0.688895074786412
"c1-335",4784.04750636811,0,0,2.13810174414858,0.0325084864172862,0.688895074786412
"c0-809",4236.6953719793,0,0,2.13310231425722,0.0329163339887657,0.688895074786412
"c0-400",3586.37426601231,0,0,2.13231679517974,0.0329808122711991,0.688895074786412
"c1-191",4756.73867445841,0,0,2.12638721795653,0.0334710311759735,0.688895074786412
"c0-10",2045.6770395799,0,0,2.12534023830133,0.0335582330037968,0.688895074786412
"c0-1312",4741.02669371391,0,0,2.11687112335236,0.0342707870329924,0.688895074786412
"c0-1314",4752.91681873023,0,0,2.11255113583778,0.0346392048098481,0.688895074786412
"c0-1523",4713.5596391006,0,0,2.11168867458831,0.0347131610617132,0.688895074786412
"c0-1140",4207.72370236366,0,0,2.10931977914375,0.034916988649289,0.688895074786412
"c0-240",3024.73307747703,0,0,2.10656449528121,0.0351553470583492,0.688895074786412
"c1-343",4705.10679673035,0,0,2.10611987115797,0.0351939411515014,0.688895074786412
"c2-83",4699.68392514009,0,0,2.10269099381667,0.0354927898426477,0.688895074786412
"c1-295",4182.63732487103,0,0,2.09661372121829,0.0360277836490439,0.688895074786412
"c1-93",3788.67766444051,0,0,2.08791538135436,0.0368054684369503,0.688895074786412
"c0-909",4162.33362100225,0,0,2.08415759485532,0.0371458345598945,0.688895074786412
"c1-380",4708.12186596764,0,0,2.07791813594639,0.0377168998210304,0.69026378058139
"c0-176",2645.85118955747,0,0,2.04353286058273,0.0409997178680932,0.715938947482142
"c0-216",2707.93436367072,0,0,2.03918428748967,0.0414316384678973,0.715938947482142
"c0-905",4049.14637114225,0,0,2.03588667261208,0.0417617364021307,0.715938947482142
"c0-1383",4601.487758718,0,0,2.03534683938953,0.0418159863017237,0.715938947482142
"c2-65",4013.85021981041,0,0,2.02540309604253,0.0428259898062247,0.715938947482142
"c0-1255",4561.09319974433,0,0,2.02336011475721,0.0430360332067187,0.715938947482142
"c2-249",4552.83744301608,0,0,2.01288987621122,0.0441262158477798,0.725122876279064
"c0-613",4006.48750841548,0,0,2.00869677133967,0.0445693013414182,0.727965255243164
"c0-584",4023.06342907019,0,0,1.98884451758105,0.0467183673316424,0.742037575155024
"c0-757",3632.20317010521,0,0,1.98275381861757,0.0473949347873004,0.742037575155024
"c0-718",3599.34838926294,0,0,1.98004246096428,0.047698757702813,0.742037575155024
"c0-449",3137.28216212911,0,0,1.96501393134503,0.0494126251449325,0.742037575155024
"c0-185",2744.03833265212,0,0,1.96241984085023,0.0497136246722237,0.742037575155024
"c0-27",2327.49630279962,0,0,1.94897930772625,0.0512978958832861,0.742037575155024
"c0-316",3902.27453764847,0,0,1.94843812939141,0.0513625611816199,0.742037575155024
"c0-131",3125.13556183253,0,0,1.93758825502273,0.0526734765248428,0.742037575155024
"c3-325",4372.5175619915,0,0,1.9370917090431,0.0527341339260476,0.742037575155024
"c4-260",3925.41783166579,0,0,1.9345263046395,0.0530484510900781,0.742037575155024
