"target","score","p","padj","norm_z_score","norm_z_score_p","norm_z_score_p_adj"
"Topoisomerase I Inhibitors",5199.23935555002,0,0,2.67673255192704,0.00743439529610026,0.142519063684408
"Antibiotics, Antineoplastic",2920.17119449507,0,0,2.50972769912672,0.0120824291303275,0.142519063684408
"Histone Deacetylase Inhibitors",3171.8671104616,0,0,2.46154583273225,0.013833972108819,0.142519063684408
"Cardiotonic Agents",2400.33231781722,0,0,2.24139589536773,0.0250004421639171,0.188336664301509
"Proton Ionophores",4643.19316035325,0,0,2.06227118500892,0.0391819247788824,0.25549813085101
"Antimetabolites, Antineoplastic",2380.56065417492,0,0,2.03876162342523,0.0414738241553629,0.260363451642
"Protein Synthesis Inhibitors",2178.37267603689,0,0,1.88212799123101,0.0598186396716128,0.28164609512051
"Nucleic Acid Synthesis Inhibitors",2230.57566637322,0,0,1.55713845621203,0.119437616395389,0.388061143800959
"Intercalating Agents",4240.62105638452,0,0,1.55137398659131,0.120812085507391,0.388061143800959
"Topoisomerase II Inhibitors",1830.42691909023,0,0,1.54624639789414,0.122045071893818,0.388061143800959
"Antineoplastic Agents, Phytogenic",1894.77102329493,0,0,1.46239177801972,0.143633881219504,0.416169963533435
"Calcium Ionophores",3961.83348854442,0,0,1.43298589031978,0.151861869616608,0.429009781666918
"Abortifacient Agents, Nonsteroidal",3001.75422896167,0,0,1.26582362568888,0.205576234650526,0.49988255690987
"Antifungal Agents",1360.98791375406,0,0,1.23216567807724,0.217887201386937,0.523856462909018
"Mineralocorticoid Receptor Antagonists",2493.89859674107,0,0,1.13798797630029,0.255125503054276,0.581511256427434
"Trypanocidal Agents",2267.06447244495,0,0,1.10157918737639,0.270644660632297,0.58813166637403
"Radiation-Sensitizing Agents",1652.74393885438,0,0,1.05631289045339,0.290825288640221,0.6159012807605
"Antiparasitic Agents",2168.08805857101,0,0,0.949291574990298,0.342472337321526,0.673158532507428
"Anti-Infective Agents, Local",1509.37820467035,0,0,0.857844323266144,0.390978431421202,0.674656430243176
"Antithyroid Agents",2203.34809597599,0,0,0.85769316880696,0.391061913105558,0.674656430243176
"Antineoplastic Agents",968.6245330002,0,0,0.730151248663663,0.465297738231122,0.740544287607279
"Glycoside Hydrolase Inhibitors",2162.60028369803,0,0,0.724023077100905,0.469051567536911,0.741298281561831
"Emetics",2168.21199562208,0,0,0.716459305169331,0.473707786846831,0.743458054356831
"Coloring Agents",1914.59625937494,0,0,0.707942065473634,0.478981235588856,0.746550063745389
"Carcinogens",2067.30752701857,0,0,0.684450376031075,0.493690814779423,0.757127679326416
