"target","score","p","padj","norm_z_score","norm_z_score_p","norm_z_score_p_adj"
"GYS1_HUMAN",1749.12129788183,0,0,2.70470075734035,0.00683659450592963,0.0433925616682053
"GLCM_HUMAN",1291.41479245145,0,0,2.70376715081337,0.00685583127127152,0.0433925616682053
"HXK4_RAT",2435.25555730864,0,0,2.67278611396507,0.00752241956556007,0.0454710010010845
"MAPK2_HUMAN",1555.74609574023,0,0,2.36068896381793,0.0182410225347312,0.083821237228184
"SEPR_HUMAN",1417.58434434203,0,0,2.2547471891422,0.0241492018338671,0.102057682122021
"IL5_MOUSE",1318.55979402641,0,0,2.24068866462006,0.025046248868526,0.105021478968281
"CDKL2_HUMAN",2840.17274719002,0,0,2.23889580046996,0.0251626968039342,0.105021478968281
"GHRL_HUMAN",2781.2344128615,0,0,2.10368782923015,0.0354056868176618,0.132338589394016
"SGMR1_MOUSE",1104.08227278173,0,0,1.98257240340401,0.0474152124627053,0.159186401920699
"CCR1_MOUSE",1416.71031407695,0,0,1.97349995514975,0.0484386296684107,0.161365733464892
"MRCKA_HUMAN",1209.01834821906,0,0,1.89517164599326,0.0580696652586784,0.182702916349319
"MC4R_RAT",2239.29370390274,0,0,1.81571374352215,0.0694142947199388,0.201301454687823
"PDE9A_HUMAN",1175.12977339969,0,0,1.81471089950374,0.069568349171005,0.201400969544975
"NOS2_HUMAN",1048.70049978727,0,0,1.76480976997462,0.0775957421096949,0.213813572896756
"TRPC3_HUMAN",1092.08905302501,0,0,1.75108791726927,0.0799307671818363,0.216877714991927
"IDHC_HUMAN",1396.83623617759,0,0,1.73591221976258,0.0825793567934573,0.220446317154697
"PDE1B_HUMAN",1208.51662916405,0,0,1.73013978304996,0.0836053038735943,0.221804607437517
"ICMT_HUMAN",1531.55987561448,0,0,1.66270746421726,0.0963710073538415,0.242296015499494
"MTOR_HUMAN",1205.23481389993,0,0,1.64146335123518,0.100701268670207,0.248356391792532
"CCR2_HUMAN",1089.53399860836,0,0,1.61037220571546,0.107316624584174,0.258605390473611
"TSHR_HUMAN",1209.26809560797,0,0,1.58243399290792,0.113550529722082,0.269762699142009
"CALCA_HUMAN",1499.85423329826,0,0,1.57052186499486,0.116293751695218,0.27357495154036
"AKT2_HUMAN",1520.56622388039,0,0,1.56724242434856,0.117058037540674,0.274108279926964
"CCR5_HUMAN",1044.3642539084,0,0,1.53480289456797,0.124832251584906,0.28595143790537
