"","pert_iname","mean","n","median","sd","sRGES"
"1","BRD-K83644384",-1.20862535594659,1,-1.20862535594659,NA,-1.20862535594659
"2","BRD-K67365258",-1.17707408513152,1,-1.17707408513152,NA,-1.17707408513152
"3","BRD-K82906409",-1.1712312572028,1,-1.1712312572028,NA,-1.1712312572028
"4","BRD-K40425733",-1.15224206643447,1,-1.15224206643447,NA,-1.15224206643447
"5","BRD-K76224440",-1.14800601618615,1,-1.14800601618615,NA,-1.14800601618615
"6","BRD-K75234292",-1.14089337999578,1,-1.14089337999578,NA,-1.14089337999578
"7","BRD-K23050218",-1.13120788589109,1,-1.13120788589109,NA,-1.13120788589109
"8","BRD-K58360282",-1.13106181519287,1,-1.13106181519287,NA,-1.13106181519287
"9","BRD-K91589308",-1.12895454161944,1,-1.12895454161944,NA,-1.12895454161944
"10","BRD-K66850406",-1.12689880029366,1,-1.12689880029366,NA,-1.12689880029366
"11","BRD-K89631978",-1.11864580584434,1,-1.11864580584434,NA,-1.11864580584434
"12","BRD-K30025108",-1.10572930060279,1,-1.10572930060279,NA,-1.10572930060279
"13","BRD-K86578973",-1.0987801908867,1,-1.0987801908867,NA,-1.0987801908867
"14","BRD-K72561299",-1.09702734250809,2,-1.09702734250809,0.010535333286741,-1.09702734250809
"15","BRD-K22002407",-1.09688127180987,1,-1.09688127180987,NA,-1.09688127180987
"16","BRD-K73453061",-1.09195676152038,2,-1.09195676152038,0.0562476904810027,-1.09195676152038
"17","BRD-K59336577",-1.09118451457937,1,-1.09118451457937,NA,-1.09118451457937
"18","BRD-K41641829",-1.06518393029658,1,-1.06518393029658,NA,-1.06518393029658
"19","BRD-K45114520",-1.06299286982331,1,-1.06299286982331,NA,-1.06299286982331
"20","BRD-K98641517",-1.06015524275879,1,-1.06015524275879,NA,-1.06015524275879
"21","BRD-K72118202",-1.05979006601325,1,-1.05979006601325,NA,-1.05979006601325
"22","BRD-K32407455",-1.05957095996592,1,-1.05957095996592,NA,-1.05957095996592
"23","BRD-K07686903",-1.05846467817855,1,-1.05846467817855,NA,-1.05846467817855
"24","BRD-K78961368",-1.05795343073479,1,-1.05795343073479,NA,-1.05795343073479
