"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"886","JTC-801","Phase 2","opioid receptor antagonist","OPRL1",-0.899070062470154,5,-0.86328601803259,0.104763464924068,-0.899070062470154
"223","bortezomib","Launched","NFkB pathway inhibitor|proteasome inhibitor","PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA",-0.891498323848432,87,-0.97235600157908,0.324555510639996,-0.891498323848432
"32","actinomycin-d","Launched","RNA polymerase inhibitor","",-0.871996108649873,3,-0.802658486707567,0.140550517318595,-0.871996108649873
"261","BVT-948","Preclinical","tyrosine phosphatase inhibitor","PTPN1|PTPN11|PTPN2",-0.847280696416983,10,-0.836364300321355,0.187947237975126,-0.847280696416983
"1323","peruvoside","Phase 1","cardiac glycoside","",-0.840886554590914,3,-0.90443312690774,0.13163436464428,-0.840886554590914
"1905","YM-155","Phase 2","survivin inhibitor","BIRC5",-0.827175026336399,58,-0.876277999826232,0.300320166946494,-0.827175026336399
"1745","thonzonium","Launched","ATPase inhibitor","",-0.812891627147401,1,-0.812891627147401,NA,-0.812891627147401
"274","camptothecin","Phase 3","topoisomerase inhibitor","TOP1",-0.809122968389836,61,-0.885078759393863,0.322867931595459,-0.809122968389836
"1127","nadifloxacin","Launched","bacterial DNA gyrase inhibitor","",-0.801059900591748,1,-0.801059900591748,NA,-0.801059900591748
"1629","SN-38","Launched","topoisomerase inhibitor","TOP1",-0.790713949167833,76,-0.895632367340108,0.369519010191922,-0.790713949167833
"277","canrenone","Withdrawn","mineralocorticoid receptor antagonist","NR3C2",-0.788059608450353,1,-0.788059608450353,NA,-0.788059608450353
"795","homoharringtonine","Launched","protein synthesis inhibitor","RPL3",-0.783381064347208,65,-0.831945661700263,0.278024226725301,-0.783381064347208
"582","epiandrosterone","Preclinical","steroid","G6PD",-0.771042372107962,1,-0.771042372107962,NA,-0.771042372107962
"1464","pyrvinium-pamoate","Launched","androgen receptor antagonist","AR",-0.765315719259085,64,-0.813768051336709,0.283831766374252,-0.765315719259085
