"identifier","log2FoldChange","logCPM","LR","pvalue","padj","gene","chrom","strand","Symbol"
"ENSG00000003249",2.32377023668268,4.79987080627297,90.0609633111141,2.30933477858106e-21,3.42959307967073e-17,"DBNDD1","chr16","-","DBNDD1"
"ENSG00000005379",-2.13061793064138,2.5523546001081,178.614708434972,9.72505329924116e-41,1.60716230823259e-36,"BZRAP1","chr17","-","BZRAP1"
"ENSG00000006118",2.50100988496986,3.51660074462431,74.8881613623905,4.98148179587604e-18,7.06324303837264e-14,"TMEM132A","chr11","+","TMEM132A"
"ENSG00000006611",3.42204008234619,3.44508326142858,31.6429231126489,1.85288579524035e-08,0.000196461480869335,"USH1C","chr11","-","USH1C"
"ENSG00000007171",2.54869111552562,0.466141942979448,75.1367641786408,4.39211287805731e-18,6.23504344169016e-14,"NOS2","chr17","-","NOS2"
"ENSG00000008226",-2.49859682723752,-0.191856155865516,346.527188092679,2.41771015118777e-77,4.08061119317471e-73,"DLEC1","chr3","+","DLEC1"
"ENSG00000008735",3.2195784371003,2.99207984705884,90.8659032483757,1.53746331296751e-21,2.290512843659e-17,"MAPK8IP2","chr22","+","MAPK8IP2"
"ENSG00000009694",-3.03344330020236,3.14249301537114,92.1314997103956,8.11040825563711e-22,1.21226272197008e-17,"TENM1","chrX","-","TENM1"
"ENSG00000010932",2.57944091588148,2.00602653037603,31.8740228775656,1.64502504628301e-08,0.000174948413672198,"FMO1","chr1","+","FMO1"
"ENSG00000011426",2.76926620700236,3.21559353162158,117.55271313008,2.17248808796408e-27,3.41341328380917e-23,"ANLN","chr7","+","ANLN"
"ENSG00000011465",-2.39355861015472,6.18153614994795,90.9200984041155,1.4959244555377e-21,2.22922662364228e-17,"DCN","chr12","-","DCN"
"ENSG00000011677",6.47422243868815,-0.42896214521398,40.5964846147576,1.87143046246404e-10,2.17628648479943e-06,"GABRA3","chrX","-","GABRA3"
"ENSG00000015413",2.66271001452972,0.884592742296208,28.4462099189567,9.63381768395657e-08,0.000975905731384801,"DPEP1","chr16","+","DPEP1"
"ENSG00000019169",-3.24069947739236,2.60582871238506,119.556389123931,7.91141342048899e-28,1.24723432574009e-23,"MARCO","chr2","+","MARCO"
"ENSG00000024526",2.83318605097048,2.08058032200132,101.956101147259,5.67658945855447e-24,8.68518187158834e-20,"DEPDC1","chr1","-","DEPDC1"
"ENSG00000034510",2.84962729205904,8.61218120277968,120.875158678399,4.06951687114174e-28,6.42576713953281e-24,"TMSB10","chr2","+","TMSB10"
"ENSG00000035499",3.01204450620021,2.09314521483588,111.691232421852,4.17525138835463e-26,6.49502105972446e-22,"DEPDC1B","chr5","-","DEPDC1B"
"ENSG00000036448",-2.02916368596709,0.820524157634344,87.6161742859081,7.94720993532517e-21,1.17396185164623e-16,"MYOM2","chr8","+","MYOM2"
"ENSG00000042062",-4.61897568613309,2.28546421227105,470.406390079354,2.61417915152708e-104,4.41953127357168e-100,"FAM65C","chr20","-","FAM65C"
"ENSG00000042493",2.7941021045418,4.60246152110391,112.563213809013,2.68951788229464e-26,4.19053781240328e-22,"CAPG","chr2","-","CAPG"
"ENSG00000042832",-2.05077484385096,0.809636621053572,48.0291040221832,4.19939253832156e-12,5.19338875214227e-08,"TG","chr8","+","TG"
